source_plate,source_well,destination_plate,destination_well,sample_vol,water_volume,initial_sample_volume
1,A1,1,A1,1,14.1,30
1,B1,1,B1,1.978891821,13.02110818,30
1,D1,1,C1,1.984126984,13.01587302,30
1,E1,1,D1,1,53.6,30
1,F1,1,E1,1,21,30
1,C2,1,G1,1,90.4,30
